variable,init_month,lead,nse,crpss,n
agegate3_Sau,2,4,0.819,0.511,15
agegate3_Sau,2,5,0.842,0.56,16
agegate3_Sau,2,6,0.913,0.706,14
agegate3_Sau,2,7,0.929,0.758,12
agegate3_Sau,3,1,0.616,0.341,13
agegate3_Sau,3,2,0.816,0.558,12
agegate3_Sau,3,3,0.758,0.459,15
agegate3_Sau,3,4,0.824,0.507,17
agegate3_Sau,3,5,0.903,0.689,14
agegate3_Sau,3,6,0.913,0.712,12
agegate3_Sau,3,7,0.71,0.436,10
agegate3_Sau,4,1,0.662,0.363,13
agegate3_Sau,4,2,0.654,0.273,16
agegate3_Sau,4,3,0.742,0.402,18
agegate3_Sau,4,4,0.886,0.649,14
agegate3_Sau,4,5,0.894,0.644,12
agegate3_Sau,4,6,0.719,0.4,10
agegate3_Sau,4,7,0.699,0.465,10
agegate3_Sau,5,1,0.757,0.423,15
agegate3_Sau,5,2,0.833,0.534,16
agegate3_Sau,5,3,0.919,0.714,14
agegate3_Sau,5,4,0.932,0.725,12
agegate3_Sau,5,5,0.703,0.392,10
agegate3_Sau,5,6,0.813,0.637,10
agegate3_Sau,5,7,0.838,0.623,10
agegate3_Sau,6,1,0.743,0.484,16
agegate3_Sau,6,2,0.859,0.653,14
agegate3_Sau,6,3,0.938,0.734,12
agegate3_Sau,6,4,0.743,0.46,10
agegate3_Sau,6,5,0.846,0.663,10
agegate3_Sau,6,6,0.916,0.738,11
agegate3_Sau,6,7,0.95,0.845,11
agegate3_Sau,7,1,0.777,0.458,16
agegate3_Sau,7,2,0.85,0.566,12
agegate3_Sau,7,3,0.593,0.232,10
agegate3_Sau,7,4,0.719,0.492,10
agegate3_Sau,7,5,0.812,0.602,11
agegate3_Sau,7,6,0.873,0.703,11
agegate3_Sau,7,7,0.873,0.694,12
agegate3_Sau,8,1,0.854,0.559,12
agegate3_Sau,8,2,0.673,0.256,10
agegate3_Sau,8,3,0.838,0.57,10
agegate3_Sau,8,4,0.907,0.735,11
agegate3_Sau,8,5,0.933,0.811,11
agegate3_Sau,8,6,0.923,0.78,12
agegate3_Sau,8,7,0.928,0.776,11
agegate3_Sau,9,1,0.672,0.273,10
agegate3_Sau,9,2,0.816,0.52,10
agegate3_Sau,9,3,0.874,0.698,11
agegate3_Sau,9,4,0.905,0.788,11
agegate3_Sau,9,5,0.916,0.76,12
agegate3_Sau,9,6,0.908,0.723,11
agegate3_Sau,9,7,0.923,0.765,12
agegate3_Sau,10,1,0.721,0.353,9
agegate3_Sau,10,2,0.809,0.528,11
agegate3_Sau,10,3,0.895,0.733,10
agegate3_Sau,10,4,0.891,0.666,11
agegate3_Sau,10,5,0.903,0.682,11
agegate3_Sau,10,6,0.778,0.603,12
agegate3_Sau,10,7,0.864,0.687,12
agegate3_Sau,11,1,0.822,0.548,11
agegate3_Sau,11,2,0.872,0.703,11
agegate3_Sau,11,3,0.86,0.617,12
agegate3_Sau,11,4,0.877,0.626,11
agegate3_Sau,11,5,0.623,0.466,12
agegate3_Sau,11,6,0.808,0.581,12
agegate3_Sau,11,7,0.573,0.396,16
agegate3_Sau,12,1,0.865,0.624,11
agegate3_Sau,12,2,0.876,0.586,12
agegate3_Sau,12,3,0.893,0.64,11
agegate3_Sau,12,4,0.693,0.489,12
agegate3_Sau,12,5,0.759,0.553,12
agegate3_Sau,12,6,0.527,0.338,15
agegate3_Sau,12,7,0.772,0.492,17
agegate1_Susqueda,1,1,0.299,0.363,15
agegate1_Susqueda,1,2,0.68,0.542,16
agegate1_Susqueda,1,3,0.685,0.532,17
agegate1_Susqueda,1,4,0.781,0.57,18
agegate1_Susqueda,1,5,0.825,0.612,20
agegate1_Susqueda,1,6,0.907,0.715,20
agegate1_Susqueda,1,7,0.941,0.768,19
agegate1_Susqueda,2,1,0.641,0.497,16
agegate1_Susqueda,2,2,0.652,0.485,18
agegate1_Susqueda,2,3,0.765,0.553,18
agegate1_Susqueda,2,4,0.813,0.604,20
agegate1_Susqueda,2,5,0.89,0.685,20
agegate1_Susqueda,2,6,0.922,0.753,19
agegate1_Susqueda,2,7,0.965,0.804,17
agegate1_Susqueda,3,1,0.616,0.474,17
agegate1_Susqueda,3,2,0.74,0.534,18
agegate1_Susqueda,3,3,0.798,0.582,20
agegate1_Susqueda,3,4,0.876,0.689,20
agegate1_Susqueda,3,5,0.912,0.749,19
agegate1_Susqueda,3,6,0.973,0.84,17
agegate1_Susqueda,3,7,0.958,0.818,15
agegate1_Susqueda,4,1,0.737,0.566,18
agegate1_Susqueda,4,2,0.817,0.609,20
agegate1_Susqueda,4,3,0.859,0.685,20
agegate1_Susqueda,4,4,0.879,0.732,19
agegate1_Susqueda,4,5,0.98,0.86,17
agegate1_Susqueda,4,6,0.963,0.832,15
agegate1_Susqueda,4,7,0.982,0.876,16
agegate1_Susqueda,5,1,0.821,0.619,20
agegate1_Susqueda,5,2,0.867,0.694,20
agegate1_Susqueda,5,3,0.895,0.727,19
agegate1_Susqueda,5,4,0.979,0.854,17
agegate1_Susqueda,5,5,0.982,0.875,15
agegate1_Susqueda,5,6,0.984,0.892,16
agegate1_Susqueda,5,7,0.979,0.878,15
agegate1_Susqueda,6,1,0.889,0.713,20
agegate1_Susqueda,6,2,0.888,0.68,19
agegate1_Susqueda,6,3,0.967,0.794,17
agegate1_Susqueda,6,4,0.963,0.848,15
agegate1_Susqueda,6,5,0.974,0.842,15
agegate1_Susqueda,6,6,0.964,0.819,14
agegate1_Susqueda,6,7,0.985,0.877,14
agegate1_Susqueda,7,1,0.882,0.662,19
agegate1_Susqueda,7,2,0.953,0.754,17
agegate1_Susqueda,7,3,0.941,0.762,15
agegate1_Susqueda,7,4,0.955,0.773,16
agegate1_Susqueda,7,5,0.945,0.757,15
agegate1_Susqueda,7,6,0.934,0.746,14
agegate1_Susqueda,7,7,0.935,0.779,13
agegate1_Susqueda,8,1,0.84,0.619,17
agegate1_Susqueda,8,2,0.864,0.645,15
agegate1_Susqueda,8,3,0.871,0.624,15
agegate1_Susqueda,8,4,0.851,0.627,15
agegate1_Susqueda,8,5,0.826,0.63,14
agegate1_Susqueda,8,6,0.832,0.65,13
agegate1_Susqueda,8,7,0.891,0.766,15
agegate1_Susqueda,9,1,0.814,0.631,15
agegate1_Susqueda,9,2,0.854,0.687,15
agegate1_Susqueda,9,3,0.822,0.649,15
agegate1_Susqueda,9,4,0.644,0.541,14
agegate1_Susqueda,9,5,0.741,0.631,14
agegate1_Susqueda,9,6,0.878,0.737,15
agegate1_Susqueda,9,7,0.868,0.746,16
agegate1_Susqueda,10,1,0.805,0.578,16
agegate1_Susqueda,10,2,0.83,0.652,15
agegate1_Susqueda,10,3,0.615,0.538,14
agegate1_Susqueda,10,4,0.629,0.572,13
agegate1_Susqueda,10,5,0.845,0.714,15
agegate1_Susqueda,10,6,0.843,0.715,17
agegate1_Susqueda,10,7,0.864,0.694,17
agegate1_Susqueda,11,1,0.827,0.58,15
agegate1_Susqueda,11,2,0.632,0.536,14
agegate1_Susqueda,11,3,0.644,0.583,13
agegate1_Susqueda,11,4,0.832,0.697,15
agegate1_Susqueda,11,5,0.832,0.697,17
agegate1_Susqueda,11,6,0.865,0.714,17
agegate1_Susqueda,11,7,0.848,0.684,19
agegate1_Susqueda,12,1,0.682,0.505,14
agegate1_Susqueda,12,2,0.737,0.567,14
agegate1_Susqueda,12,3,0.898,0.698,15
agegate1_Susqueda,12,4,0.894,0.687,17
agegate1_Susqueda,12,5,0.902,0.701,17
agegate1_Susqueda,12,6,0.896,0.701,19
agegate1_Susqueda,12,7,0.903,0.731,19
agegate2_Susqueda,1,1,0.395,0.342,21
agegate2_Susqueda,1,2,0.617,0.472,21
agegate2_Susqueda,1,3,0.572,0.427,20
agegate2_Susqueda,1,4,0.775,0.54,21
agegate2_Susqueda,1,5,0.776,0.522,22
agegate2_Susqueda,1,6,0.53,0.424,24
agegate2_Susqueda,1,7,0.774,0.559,24
agegate2_Susqueda,2,1,0.592,0.439,21
agegate2_Susqueda,2,2,0.553,0.408,20
agegate2_Susqueda,2,3,0.773,0.57,21
agegate2_Susqueda,2,4,0.729,0.517,22
agegate2_Susqueda,2,5,0.527,0.441,24
agegate2_Susqueda,2,6,0.783,0.596,24
agegate2_Susqueda,2,7,0.932,0.782,20
agegate2_Susqueda,3,1,0.513,0.365,20
agegate2_Susqueda,3,2,0.746,0.523,21
agegate2_Susqueda,3,3,0.723,0.485,22
agegate2_Susqueda,3,4,0.511,0.39,24
agegate2_Susqueda,3,5,0.752,0.547,24
agegate2_Susqueda,3,6,0.92,0.774,20
agegate2_Susqueda,3,7,0.949,0.776,21
agegate2_Susqueda,4,1,0.801,0.605,21
agegate2_Susqueda,4,2,0.78,0.563,22
agegate2_Susqueda,4,3,0.542,0.458,24
agegate2_Susqueda,4,4,0.765,0.58,24
agegate2_Susqueda,4,5,0.926,0.796,20
agegate2_Susqueda,4,6,0.951,0.785,21
agegate2_Susqueda,4,7,0.868,0.723,20
agegate2_Susqueda,5,1,0.727,0.539,22
agegate2_Susqueda,5,2,0.481,0.402,24
agegate2_Susqueda,5,3,0.736,0.535,24
agegate2_Susqueda,5,4,0.929,0.791,20
agegate2_Susqueda,5,5,0.943,0.771,21
agegate2_Susqueda,5,6,0.897,0.787,20
agegate2_Susqueda,5,7,0.822,0.678,20
agegate2_Susqueda,6,1,0.568,0.478,24
agegate2_Susqueda,6,2,0.768,0.566,24
agegate2_Susqueda,6,3,0.929,0.779,20
agegate2_Susqueda,6,4,0.931,0.718,21
agegate2_Susqueda,6,5,0.836,0.644,20
agegate2_Susqueda,6,6,0.817,0.65,20
agegate2_Susqueda,6,7,0.986,0.877,19
agegate2_Susqueda,7,1,0.734,0.457,24
agegate2_Susqueda,7,2,0.901,0.684,20
agegate2_Susqueda,7,3,0.923,0.687,21
agegate2_Susqueda,7,4,0.833,0.622,20
agegate2_Susqueda,7,5,0.756,0.595,20
agegate2_Susqueda,7,6,0.96,0.814,19
agegate2_Susqueda,7,7,0.81,0.716,20
agegate2_Susqueda,8,1,0.722,0.491,20
agegate2_Susqueda,8,2,0.819,0.545,21
agegate2_Susqueda,8,3,0.786,0.543,20
agegate2_Susqueda,8,4,0.652,0.498,20
agegate2_Susqueda,8,5,0.902,0.722,19
agegate2_Susqueda,8,6,0.758,0.625,20
agegate2_Susqueda,8,7,0.859,0.716,20
agegate2_Susqueda,9,1,0.824,0.546,21
agegate2_Susqueda,9,2,0.744,0.521,20
agegate2_Susqueda,9,3,0.515,0.441,20
agegate2_Susqueda,9,4,0.731,0.58,18
agegate2_Susqueda,9,5,0.66,0.541,20
agegate2_Susqueda,9,6,0.789,0.656,20
agegate2_Susqueda,9,7,0.734,0.627,19
agegate2_Susqueda,10,1,0.782,0.53,20
agegate2_Susqueda,10,2,0.488,0.459,20
agegate2_Susqueda,10,3,0.588,0.52,19
agegate2_Susqueda,10,4,0.593,0.499,20
agegate2_Susqueda,10,5,0.747,0.62,20
agegate2_Susqueda,10,6,0.692,0.589,19
agegate2_Susqueda,10,7,0.841,0.662,20
agegate2_Susqueda,11,1,0.504,0.447,20
agegate2_Susqueda,11,2,0.551,0.518,19
agegate2_Susqueda,11,3,0.584,0.491,20
agegate2_Susqueda,11,4,0.739,0.606,20
agegate2_Susqueda,11,5,0.686,0.576,19
agegate2_Susqueda,11,6,0.841,0.667,20
agegate2_Susqueda,11,7,0.801,0.578,21
agegate2_Susqueda,12,1,0.594,0.467,19
agegate2_Susqueda,12,2,0.709,0.499,20
agegate2_Susqueda,12,3,0.816,0.615,20
agegate2_Susqueda,12,4,0.766,0.577,19
agegate2_Susqueda,12,5,0.867,0.643,20
agegate2_Susqueda,12,6,0.86,0.636,21
agegate2_Susqueda,12,7,0.572,0.494,23
agegate3_Susqueda,1,1,0.336,0.251,24
agegate3_Susqueda,1,2,0.555,0.368,24
agegate3_Susqueda,1,3,0.551,0.378,24
agegate3_Susqueda,1,4,0.574,0.357,24
agegate3_Susqueda,1,5,0.265,0.322,24
agegate3_Susqueda,1,6,0.457,0.423,24
agegate3_Susqueda,1,7,0.735,0.555,24
agegate3_Susqueda,2,1,0.534,0.339,24
agegate3_Susqueda,2,2,0.54,0.375,24
agegate3_Susqueda,2,3,0.579,0.381,24
agegate3_Susqueda,2,4,0.267,0.277,24
agegate3_Susqueda,2,5,0.453,0.374,24
agegate3_Susqueda,2,6,0.733,0.567,24
agegate3_Susqueda,2,7,0.795,0.637,24
agegate3_Susqueda,3,1,0.516,0.337,24
agegate3_Susqueda,3,2,0.556,0.356,24
agegate3_Susqueda,3,3,0.273,0.279,24
agegate3_Susqueda,3,4,0.451,0.358,24
agegate3_Susqueda,3,5,0.718,0.548,24
agegate3_Susqueda,3,6,0.772,0.621,24
agegate3_Susqueda,3,7,0.826,0.676,23
agegate3_Susqueda,4,1,0.637,0.443,24
agegate3_Susqueda,4,2,0.273,0.298,24
agegate3_Susqueda,4,3,0.47,0.407,24
agegate3_Susqueda,4,4,0.729,0.562,24
agegate3_Susqueda,4,5,0.772,0.624,24
agegate3_Susqueda,4,6,0.83,0.674,23
agegate3_Susqueda,4,7,0.766,0.633,24
agegate3_Susqueda,5,1,0.227,0.257,24
agegate3_Susqueda,5,2,0.448,0.367,24
agegate3_Susqueda,5,3,0.704,0.534,24
agegate3_Susqueda,5,4,0.75,0.583,24
agegate3_Susqueda,5,5,0.811,0.662,23
agegate3_Susqueda,5,6,0.787,0.619,24
agegate3_Susqueda,5,7,0.66,0.615,23
agegate3_Susqueda,6,1,0.5,0.358,24
agegate3_Susqueda,6,2,0.753,0.573,24
agegate3_Susqueda,6,3,0.792,0.631,24
agegate3_Susqueda,6,4,0.829,0.681,23
agegate3_Susqueda,6,5,0.788,0.604,24
agegate3_Susqueda,6,6,0.66,0.603,23
agegate3_Susqueda,6,7,0.655,0.56,23
agegate3_Susqueda,7,1,0.705,0.473,24
agegate3_Susqueda,7,2,0.775,0.578,24
agegate3_Susqueda,7,3,0.815,0.618,23
agegate3_Susqueda,7,4,0.763,0.577,24
agegate3_Susqueda,7,5,0.668,0.566,23
agegate3_Susqueda,7,6,0.677,0.565,23
agegate3_Susqueda,7,7,0.734,0.64,23
agegate3_Susqueda,8,1,0.645,0.407,24
agegate3_Susqueda,8,2,0.764,0.537,23
agegate3_Susqueda,8,3,0.704,0.484,24
agegate3_Susqueda,8,4,0.558,0.451,23
agegate3_Susqueda,8,5,0.633,0.496,23
agegate3_Susqueda,8,6,0.686,0.554,23
agegate3_Susqueda,8,7,0.774,0.614,23
agegate3_Susqueda,9,1,0.614,0.363,23
agegate3_Susqueda,9,2,0.523,0.288,24
agegate3_Susqueda,9,3,0.384,0.296,23
agegate3_Susqueda,9,4,0.53,0.406,23
agegate3_Susqueda,9,5,0.565,0.425,23
agegate3_Susqueda,9,6,0.695,0.525,23
agegate3_Susqueda,9,7,0.669,0.536,23
agegate3_Susqueda,10,1,0.545,0.324,24
agegate3_Susqueda,10,2,0.312,0.29,23
agegate3_Susqueda,10,3,0.513,0.396,23
agegate3_Susqueda,10,4,0.51,0.39,23
agegate3_Susqueda,10,5,0.663,0.493,23
agegate3_Susqueda,10,6,0.641,0.508,23
agegate3_Susqueda,10,7,0.635,0.499,23
agegate3_Susqueda,11,1,0.329,0.288,23
agegate3_Susqueda,11,2,0.483,0.376,23
agegate3_Susqueda,11,3,0.497,0.371,23
agegate3_Susqueda,11,4,0.653,0.481,23
agegate3_Susqueda,11,5,0.635,0.5,23
agegate3_Susqueda,11,6,0.639,0.501,23
agegate3_Susqueda,11,7,0.317,0.386,23
agegate3_Susqueda,12,1,0.591,0.374,23
agegate3_Susqueda,12,2,0.629,0.382,23
agegate3_Susqueda,12,3,0.735,0.493,23
agegate3_Susqueda,12,4,0.705,0.502,23
agegate3_Susqueda,12,5,0.676,0.463,23
agegate3_Susqueda,12,6,0.379,0.425,23
agegate3_Susqueda,12,7,0.504,0.5,23
agegate4_Susqueda,1,1,0.33,0.272,24
agegate4_Susqueda,1,2,0.542,0.37,24
agegate4_Susqueda,1,3,0.541,0.372,24
agegate4_Susqueda,1,4,0.564,0.359,24
agegate4_Susqueda,1,5,0.524,0.377,24
agegate4_Susqueda,1,6,0.501,0.405,24
agegate4_Susqueda,1,7,0.486,0.445,24
agegate4_Susqueda,2,1,0.52,0.338,24
agegate4_Susqueda,2,2,0.529,0.366,24
agegate4_Susqueda,2,3,0.57,0.363,24
agegate4_Susqueda,2,4,0.52,0.287,24
agegate4_Susqueda,2,5,0.487,0.339,24
agegate4_Susqueda,2,6,0.488,0.428,24
agegate4_Susqueda,2,7,0.68,0.584,24
agegate4_Susqueda,3,1,0.51,0.336,24
agegate4_Susqueda,3,2,0.586,0.364,24
agegate4_Susqueda,3,3,0.504,0.305,24
agegate4_Susqueda,3,4,0.479,0.323,24
agegate4_Susqueda,3,5,0.48,0.427,24
agegate4_Susqueda,3,6,0.679,0.582,24
agegate4_Susqueda,3,7,0.732,0.665,24
agegate4_Susqueda,4,1,0.68,0.472,24
agegate4_Susqueda,4,2,0.528,0.325,24
agegate4_Susqueda,4,3,0.474,0.326,24
agegate4_Susqueda,4,4,0.472,0.41,24
agegate4_Susqueda,4,5,0.676,0.559,24
agegate4_Susqueda,4,6,0.733,0.641,24
agegate4_Susqueda,4,7,0.778,0.645,24
agegate4_Susqueda,5,1,0.637,0.379,24
agegate4_Susqueda,5,2,0.471,0.344,24
agegate4_Susqueda,5,3,0.469,0.419,24
agegate4_Susqueda,5,4,0.643,0.518,24
agegate4_Susqueda,5,5,0.724,0.605,24
agegate4_Susqueda,5,6,0.833,0.693,24
agegate4_Susqueda,5,7,0.71,0.612,23
agegate4_Susqueda,6,1,0.459,0.227,24
agegate4_Susqueda,6,2,0.465,0.363,24
agegate4_Susqueda,6,3,0.643,0.517,24
agegate4_Susqueda,6,4,0.711,0.595,24
agegate4_Susqueda,6,5,0.761,0.637,24
agegate4_Susqueda,6,6,0.745,0.605,23
agegate4_Susqueda,6,7,0.723,0.523,23
agegate4_Susqueda,7,1,0.439,0.286,24
agegate4_Susqueda,7,2,0.619,0.463,24
agegate4_Susqueda,7,3,0.659,0.528,24
agegate4_Susqueda,7,4,0.75,0.554,24
agegate4_Susqueda,7,5,0.64,0.503,23
agegate4_Susqueda,7,6,0.738,0.553,23
agegate4_Susqueda,7,7,0.747,0.643,23
agegate4_Susqueda,8,1,0.377,0.252,24
agegate4_Susqueda,8,2,0.49,0.376,24
agegate4_Susqueda,8,3,0.68,0.474,24
agegate4_Susqueda,8,4,0.65,0.46,23
agegate4_Susqueda,8,5,0.718,0.512,23
agegate4_Susqueda,8,6,0.707,0.57,23
agegate4_Susqueda,8,7,0.768,0.61,23
agegate4_Susqueda,9,1,0.228,0.219,24
agegate4_Susqueda,9,2,0.451,0.262,24
agegate4_Susqueda,9,3,0.413,0.318,23
agegate4_Susqueda,9,4,0.626,0.417,23
agegate4_Susqueda,9,5,0.58,0.446,23
agegate4_Susqueda,9,6,0.69,0.529,23
agegate4_Susqueda,9,7,0.671,0.526,23
agegate4_Susqueda,10,1,0.534,0.321,24
agegate4_Susqueda,10,2,0.56,0.375,23
agegate4_Susqueda,10,3,0.588,0.423,23
agegate4_Susqueda,10,4,0.521,0.418,23
agegate4_Susqueda,10,5,0.656,0.498,23
agegate4_Susqueda,10,6,0.642,0.49,23
agegate4_Susqueda,10,7,0.642,0.486,23
