variable,init_month,lead,correlation,nse,crpss,n
peakgate2_Sau,12,1,-0.31,0.31,0.31,30
peakgate2_Sau,12,2,0.012,-0.012,-0.012,30
peakgate2_Sau,12,3,0,0,0,30
peakgate2_Sau,12,4,-0.384,0.384,0.384,29
peakgate2_Sau,12,5,0.101,-0.101,-0.101,29
peakgate2_Sau,12,6,-0.339,0.339,0.339,29
peakgate2_Sau,12,7,-0.202,0.202,0.202,29
peakgate3_Sau,1,1,-0.447,0.447,0.447,27
peakgate3_Sau,1,2,-0.589,0.589,0.589,29
peakgate3_Sau,1,3,-0.248,0.248,0.248,28
peakgate3_Sau,1,4,-0.602,0.602,0.602,28
peakgate3_Sau,1,5,-0.245,0.245,0.245,28
peakgate3_Sau,1,6,-0.006,0.006,0.006,28
peakgate3_Sau,1,7,-0.18,0.18,0.18,28
peakgate3_Sau,2,1,-0.491,0.491,0.491,29
peakgate3_Sau,2,2,-0.435,0.435,0.435,28
peakgate3_Sau,2,3,-0.552,0.552,0.552,28
peakgate3_Sau,2,4,-0.212,0.212,0.212,28
peakgate3_Sau,2,5,0.034,-0.034,-0.034,28
peakgate3_Sau,2,6,-0.226,0.226,0.226,27
peakgate3_Sau,2,7,-0.343,0.343,0.343,26
peakgate3_Sau,3,1,-0.406,0.406,0.406,29
peakgate3_Sau,3,2,-0.652,0.652,0.652,29
peakgate3_Sau,3,3,-0.191,0.191,0.191,29
peakgate3_Sau,3,4,-0.074,0.074,0.074,29
peakgate3_Sau,3,5,-0.296,0.296,0.296,29
peakgate3_Sau,3,6,-0.319,0.319,0.319,27
peakgate3_Sau,3,7,-0.27,0.27,0.27,27
peakgate3_Sau,4,1,-0.608,0.608,0.608,28
peakgate3_Sau,4,2,-0.489,0.489,0.489,28
peakgate3_Sau,4,3,-0.084,0.084,0.084,28
peakgate3_Sau,4,4,-0.421,0.421,0.421,28
peakgate3_Sau,4,5,-0.318,0.318,0.318,27
peakgate3_Sau,4,6,-0.35,0.35,0.35,26
peakgate3_Sau,4,7,-0.124,0.124,0.124,25
peakgate3_Sau,5,1,-0.403,0.403,0.403,28
peakgate3_Sau,5,2,-0.132,0.132,0.132,28
peakgate3_Sau,5,3,-0.274,0.274,0.274,27
peakgate3_Sau,5,4,-0.306,0.306,0.306,26
peakgate3_Sau,5,5,-0.332,0.332,0.332,26
peakgate3_Sau,5,6,-0.16,0.16,0.16,25
peakgate3_Sau,5,7,-0.311,0.311,0.311,25
peakgate3_Sau,6,1,-0.168,0.168,0.168,28
peakgate3_Sau,6,2,-0.341,0.341,0.341,27
peakgate3_Sau,6,3,-0.078,0.078,0.078,26
peakgate3_Sau,6,4,-0.576,0.576,0.576,26
peakgate3_Sau,6,5,-0.085,0.085,0.085,25
peakgate3_Sau,6,6,-0.403,0.403,0.403,25
peakgate3_Sau,6,7,-0.314,0.314,0.314,25
peakgate3_Sau,7,1,-0.234,0.234,0.234,29
peakgate3_Sau,7,2,-0.349,0.349,0.349,28
peakgate3_Sau,7,3,-0.255,0.255,0.255,27
peakgate3_Sau,7,4,-0.039,0.039,0.039,26
peakgate3_Sau,7,5,-0.233,0.233,0.233,26
peakgate3_Sau,7,6,-0.331,0.331,0.331,26
peakgate3_Sau,7,7,-0.573,0.573,0.573,26
